SMILES	STRID
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)OC(F)(F)F)C(=O)CCl	EN300-10152
COC1=CC=C(C=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-08108
ClCC(=O)C1=CC=C(C=C1)C2CCCCC2	EN300-05060
CCOC1=CC=C(C=C1)C(=O)CCl	EN300-10750
CSC1=C(C=C(C=C1)C(=O)CCl)NC(=O)C	EN300-23484
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)C(F)(F)F)C(=O)CCl	EN300-11078
C[N]1C=CC=C1C(=O)CCl	EN300-10137
COC1=C(C=C(C=C1)F)C(=O)CCl	EN300-10809
ClCC(=O)C1=CC2=C(C=C1)NC(=O)CCC2	EN300-37068
CN(C1=CC=C(C=C1)C(=O)CCl)[S](=O)(=O)C	EN300-12004
BrCC(=O)C1=CC=C(C=C1)[S](=O)(=O)N2CCCCC2	EN300-08175
CC1=C(C=C(C=C1)C(=O)CBr)[N+](=O)[O-]	EN300-02057
CC(Cl)C(=O)C1=C[NH]C2=C1C=CC=C2	EN300-11122
CC1=CC(=NO1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-09457
COC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-08465
CC(Cl)C(=O)C1=C([N](C(=C1)C)C2=CC=C(C=C2)Cl)C	EN300-07721
CC(=O)NC1=CC(=C(C=C1)C(=O)CCl)F	EN300-11676
CCC2=C1[NH]C=C(C1=CC=C2)C(=O)C(Cl)C3=CC=CC=C3	EN300-07335
FC1=C(C(=CC=C1)Cl)CC(=O)CCl	EN300-50512
CN1C(=CC(=O)CCl)C(C)(C)C2=C1C=CC=C2	EN300-01713
ClCC(=O)C1=CC=C(C=C1)Br	EN300-01883
CC1=CC=C(C=C1)C(=O)CBr	EN300-20768
ClCC(=O)C(C#N)C1=NN=C2CCCCC[N]12	EN300-12631
CCCC(=O)NC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-11466
BrCC(=O)C1=CC2=C(C=C1)OCCO2	EN300-08090
ClCC(=O)C1=C[NH]C2=C1C=CC=C2	EN300-04394
CC(Br)C(=O)C1=CC2=C(C=C1)NC(=O)CC2	EN300-70127
CCC(=O)CCl	EN300-59728
COC(=O)C(=O)C(C)Br	EN300-115517
CN1C(=O)CCC2=C1C=CC(=C2)C(=O)CBr	EN300-116200
CN1C(=O)OC2=C1C=CC(=C2)C(=O)CCl	EN300-57217
CC(Br)C(=O)C1=C(C=CC(=C1)F)F	EN300-70654
CC(C)CC1=CC=C(C=C1)C(=O)CBr	EN300-44889
CC(C)C(Br)C(=O)C1=CC=CC=C1	EN300-42834
N[S](=O)(=O)C1=CC=C(C=C1)C(=O)CBr	EN300-39186
CC1=CC(=C(C)[N]1C2=CC3=C(C=C2)OCCO3)C(=O)CCl	EN300-07235
COC1=CC(=CC=C1)NC(=O)C(Cl)C(=O)C2=CC=CC=C2	EN300-14050
CC1=CC(=C(C)[N]1C2=CC(=C(C=C2)Cl)Cl)C(=O)CCl	EN300-05080
CC(=O)C(Cl)C1=CC=CC=C1	EN300-06746
FC1=CC=C(C=C1)C2=C(C3=C([NH]2)C=CC=C3)C(=O)CCl	EN300-13226
CC(=O)NC1=C(C=CC(=C1)C(=O)CCl)O	EN300-15033
ClCC(=O)C1=CC2=C(C=C1)CCC2	EN300-10988
CN1C(=C(C#N)C(=O)CCl)SC2=C1C=CC=C2	EN300-11423
CC[S](=O)(=O)N1CCC2=C1C=CC(=C2)C(=O)CCl	EN300-12670
CC1=CC(=C(C)[N]1C3=C(C)N(C)N(C2=CC=CC=C2)C3=O)C(=O)CCl	EN300-05197
CC1=CC(=C(C)[N]1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)CCl	EN300-11151
[O-][N+](=O)C1=CC=C(C=C1)C(=O)C(Cl)C(=O)NC2=CC=CC=C2	EN300-02066
CC(Cl)C(=O)C1=CC=C(C=C1)CCNC(=O)C	EN300-15232
CC1=C(OC2=C1C=CC=C2)C(=O)CBr	EN300-10066
C[N]1C=CC(=C1)C(=O)CCl	EN300-10370
CC1=CC(=C(C)[N]1C2=CC3=C(C=C2)OCO3)C(=O)CCl	EN300-07240
CCOC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-10063
COC1=CC(=C(C=C1)OC)C(=O)CCl	EN300-09469
CC1=CC(=C(C)[N]1C2=CC3=C(C=C2)CCC3)C(=O)CCl	EN300-18699
ClCC(=O)C1=CC2=C(C=C1)COC2	EN300-59199
ClCC(=O)C1=NN=C(O1)C2=CC=CC=C2	EN300-25995
CC(Cl)C(=O)C1=C(C=C(C(=C1)C)C)C	EN300-05764
BrCC(=O)C1=C(C=CC=C1)Br	EN300-01887
CN(C=O)C1=CC=C(C=C1)C(=O)CCl	EN300-108074
FC(F)(F)C1=CC(=CC=C1)[N]2C=C(N=N2)C(=O)CCl	EN300-105716
CCCCCCC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-05759
ClCC(=O)C(=C2NC1=C(C=CC=C1)S2)C#N	EN300-01903
COC(=O)C1=CC=C(C=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-04869
CC1=CC(=C(C)[N]1CC2=CC3=C(C=C2)OCO3)C(=O)CCl	EN300-07369
CC1=CC(=C(C)[N]1NC(=O)C2=NNC(=O)C3=C2C=CC=C3)C(=O)CCl	EN300-11023
CC1=CC(=C(C)[N]1C2=CC(=C(C=C2)C)F)C(=O)CCl	EN300-10154
CC(Cl)C(=O)C1=CC=C(C=C1)Br	EN300-06116
CN1C(=O)CC2=C1C=CC(=C2)C(=O)CCl	EN300-14447
CC(=O)NC1=CC=C(C=C1)C(=O)CBr	EN300-110463
CC1=CC(=CC=C1)[N]2C=C(N=N2)C(=O)CCl	EN300-102386
CC(C)(C)OC(=O)N1CCC(=O)C(Br)C1	EN300-94662
CC1=NC(=C(O1)C(=O)CBr)C	EN300-111133
BrCC(=O)C1=CC(=CC=C1)[S](=O)(=O)N2CCOCC2	EN300-84735
COC1=CC2=C(C=C1)[NH]C(=C2C(=O)CCl)C	EN300-77968
BrCC(=O)C[S](=O)(=O)C1=CC=CC=C1	EN300-80150
C[N]1C=C(C=N1)C(=O)CCl	EN300-84207
BrCC(=O)C1=C[NH]C2=C1C=CC=N2	EN300-120360
CC1=C(C=C(C(=C1)C(=O)CCl)C)Br	EN300-123408
FC(F)(Cl)C(=O)CCC1=CC=CC=C1	EN300-124817
CC(Cl)C(=O)C1=C[NH]C2=C1C=CC=N2	EN300-123566
FC(F)(Cl)C(=O)CC1=CC=CC=C1	EN300-123910
COC(=O)C(Cl)C(=O)C(F)F	EN300-117179
COC(=O)C1=CC(=CC=C1)C(=O)CCl	EN300-119259
CC(=O)C(Cl)C(=O)NC1=CC=CC=C1	EN300-04842
CC(=O)N2CCC1=C(C=C(S1)C(=O)CCl)C2	EN300-117408
CCOC(=O)C1CCCC(Br)C1=O	EN300-127399
ClCC(=O)C1CCCCC1	EN300-120304
CC(Br)C(=O)C1=CC2=C(C=C1)N(C)C(=O)C2	EN300-117951
CN1C(=O)CCC2=C1C=CC(=C2)C(=O)CCl	EN300-119165
ClC1=CC(=CC=C1)C(=O)CBr	EN300-08067
ClC1CCC1=O	EN300-137220
ClCC(=O)C1=CC2=C(C=C1)NC(=O)N2	EN300-07119
OC1=CC(=C(C=C1)C(=O)CCl)O	EN300-04971
CC(C)(Br)C(=O)C1=CC(=C(C=C1)F)F	EN300-130108
FC1=CC(=C(C=C1)F)C(=O)CCl	EN300-05212
C[Si](C)(C)C#CC(=O)CCl	EN300-129322
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)C)C(=O)CCl	EN300-04769
ClCC(=O)C1=CC2=C(C=C1)OCC(=O)N2	EN300-17814
BrCC(=O)C1=CC2=C(C=C1)C=CC=C2	EN300-20757
FC(F)OC1=CC=C(C=C1)C(=O)CBr	EN300-01904
CC(C)C(Br)C(=O)C#C[Si](C)(C)C	EN300-131441
ClCC(=O)C1=CC2=C(C=C1)N(CCC2)C(=O)C3=CC=CC=C3	EN300-129784
COC(=O)C(=O)C(Cl)C1=CC=CC=C1	EN300-83888
FC(F)(F)C1=CC(=CC=C1)C(=O)CCl	EN300-132620
CC(Cl)C(=O)C#C[Si](C)(C)C	EN300-131656
CCOC(=O)C(Cl)C(=O)CC	EN300-107183
BrCC(=O)C1CCOC1	EN300-136661
FC(F)(Br)C(=O)CCC1=CC=CC=C1	EN300-130642
COC1=CC(=CC=C1)C(=O)CBr	EN300-20780
CC1=NOC(=C1)C(=O)CCl	EN300-154085
FC(F)(F)C(=O)N1CCCC1C(=O)CCl	EN300-152586
ClCC(=O)C1=C(C=C(C=C1)Cl)Cl	EN300-17947
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)CCl	EN300-152593
COC1=CC=C(C=C1)CC(=O)CBr	EN300-152444
[O-][N+](=O)C1=CC=C(C=C1)C(=O)CBr	EN300-18582
BrC1(CCCC1)C(=O)C2=CC=CC=C2	EN300-155914
BrC1CCCCC1=O	EN300-74324
ClCC(=O)C=[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	EN300-159868
FC(F)(F)C(=O)N2CCC1=C(C=CC(=C1)C(=O)CCl)C2	EN300-154350
CC1=NC(=C(O1)C(=O)CCl)C	EN300-157324
BrC1CCCC1=O	EN300-157178
CCOC(=O)C1=CC=C(C=C1)C(=O)CBr	EN300-160603
COC(=O)C1=CC=C(C=C1)C(=O)CBr	EN300-23971
ClCC(=O)CCN2C(=O)C1=C(C=CC=C1)C2=O	EN300-155900
BrCC(=O)C2COC1=C(C=CC=C1)O2	EN300-177226
CCOC(=O)CCC(=O)CCl	EN300-177417
ClCC(=O)C1CC2CCC1C2	EN300-173245
BrCC(=O)C1=C(C=CC=C1)N3C(=O)C2=C(C=CC=C2)C3=O	EN300-175418
CC(Br)C(=O)C1=C(C=CC=C1)C(F)(F)F	EN300-174190
COC1=C(C=C(C=C1)C(=O)C(C)Br)Cl	EN300-179290
CC(Br)C(=O)C1=C(C=CC=C1)Br	EN300-101924
ClCC(=O)C1=CSC=N1	EN300-178118
CC(=O)C(Br)CC1=C(C=CC=C1)F	EN300-182126
CC(C)(C)C(=O)CBr	EN300-21881
FC1(F)CCC(CC1)C(=O)CBr	EN300-181893
ClCC(=O)CC12CC3CC(C1)CC(C2)C3	EN300-175548
ClCC(=O)C1CCC1	EN300-180284
ClCC(=O)C1CCCC1	EN300-190882
CC(=O)C(Br)CC1=C(C(=C(C=C1)F)F)F	EN300-182619
CC(=O)C(Br)CC1=C(C=CC=C1F)F	EN300-182715
